Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,RiskPerTradePct,MaxDailyLossPct,MaxWeeklyLossPct,AsianOpenHour,NYOpenHour,NYCloseHour,MinutesBeforeNYClose,AggressiveTrailHoursBeforeClose,NewsWindowMinutes,ATR_Period,ATR_Multiplier,PartialTakeProfitRR,ExtendedTakeProfitRR,NY_Precision_ADX_Level
2179,1.29,1355.83,3.25921,1.10231,0.51286,1.29144,0,1.04,416,0.5,5.2,40,8,26,17,27,14,97,87,13.05,3.24,29.28,276
2180,1.58,1232.89,3.21065,1.10418,0.42895,1.58120,0,1.13,384,0.5,2,5,9,64,17,75,15,222,87,13.05,3.24,29.28,276
2137,0.59,863.29,1.96202,1.05061,0.20421,0.59355,0,1.66,440,0.5,13,36.5,5,84,17,27,10,128,97,10.95,3.24,29.28,132
1997,2.09,2845.02,6.77386,1.18491,0.65668,2.09321,0,1.70,420,0.5,2,28.5,6,131,17,95,19,281,100,10.5,3.24,29.28,132
1575,0.49,1105.14,2.15848,1.04651,0.25024,0.49421,0,1.74,512,0.5,3.6,43.5,4,65,22,32,12,118,112,10.95,12,39.36,156
1926,1.03,2204.89,3.62646,1.07717,0.47103,1.03343,0,1.83,608,0.5,2,19.5,3,98,17,127,16,55,52,8.55,1.56,13.92,156
1151,0.04,1149.85,191.64167,1.40094,0.24681,0.04017,0,1.84,6,0.65,14.2,35,10,34,154,103,7,52,88,15,1.32,5.76,144
1150,2.29,4495.64,8.95546,1.18105,0.94224,2.28849,0,1.86,502,0.5,2,28.5,6,131,17,127,16,55,52,8.55,1.56,13.92,156
1505,2.29,4495.64,8.95546,1.18105,0.94224,2.28849,0,1.86,502,0.5,2,28.5,6,77,17,127,16,55,52,8.55,1.56,13.92,156
2289,0.23,299.12,0.74780,1.01639,0.06239,0.22796,0,1.88,400,0.5,12.8,35.5,8,99,17,63,20,227,126,10.2,1.2,43.2,159
759,0.87,1762.88,3.45663,1.07550,0.36345,0.86590,0,1.91,510,0.7,15.8,5.5,1,136,17,75,12,33,90,13.05,3.24,29.28,132
2955,-0.38,-571.49,-3.14006,0.97099,-0.11727,-0.37891,0,1.92,182,0.5,2,5,10,16,17,15,2,118,17,8.7,1.2,12.48,138
1797,2.14,3754.00,7.21923,1.17732,0.76298,2.13539,0,1.93,520,0.5,2,5,5,109,17,15,17,134,61,10.2,3.96,29.28,276
1415,2.20,7007.29,10.64938,1.19153,1.35471,2.19758,0,1.98,658,1.05,17.6,39.5,4,39,21,82,18,285,72,14.85,10.08,47.52,147
1492,-0.05,-846.28,-105.78500,0.82096,-0.16916,-0.04930,0,2.00,8,0.5,16.4,11.5,5,32,129,136,13,262,15,13.5,4.68,15.36,219
1897,-0.14,-265.70,-0.53569,0.98938,-0.05067,-0.13609,0,2.06,496,0.5,13,36.5,5,132,19,30,10,128,129,10.2,10.68,47.52,195
711,-0.05,-869.42,-108.67750,0.81696,-0.16632,-0.04981,0,2.09,8,0.5,2,35.5,4,62,129,132,15,233,15,13.35,6.84,34.08,72
906,-0.05,-869.42,-108.67750,0.81696,-0.16632,-0.04981,0,2.09,8,0.5,2,35.5,4,94,129,132,15,233,15,13.35,6.84,34.08,72
958,-0.70,-972.23,-1.72995,0.94136,-0.18255,-0.70410,0,2.11,562,0.5,2,13,1,69,17,15,14,97,127,14.85,3.96,26.88,117
5965,0.03,114.80,7.17500,1.02585,0.02132,0.03348,0,2.13,16,0.5,11.6,11,0,93,129,15,2,30,14,13.35,1.2,27.84,156
6144,0.01,48.08,3.00500,1.01064,0.00885,0.01348,0,2.15,16,0.5,11.6,18.5,1,93,129,15,17,30,14,13.35,1.2,20.16,159
1264,0.85,1382.81,6.98389,1.07983,0.24886,0.85015,0,2.18,198,0.5,14.8,32.5,8,64,17,15,2,78,138,10.5,1.32,42.24,90
1693,0.93,1781.37,3.59147,1.06642,0.31542,0.92881,0,2.20,496,0.5,14.8,36.5,7,22,17,89,17,45,52,8.55,1.56,13.92,156
1765,0.29,388.38,1.98153,1.02311,0.06838,0.28768,0,2.23,196,0.5,2,21,9,49,17,15,2,142,136,10.2,1.44,4.8,135
1895,-1.44,-2034.12,-11.17648,0.89444,-0.34544,-1.44338,0,2.32,182,0.5,8.6,30,10,46,17,15,2,252,14,9.3,1.2,46.56,129
421,0.07,6594.46,1648.61500,4.49242,1.10553,0.06525,0,2.36,4,0.75,5.8,22.5,4,14,130,115,20,220,115,13.5,6.96,43.68,96
1235,0.24,587.68,0.85918,1.01998,0.09711,0.23582,0,2.37,684,0.55,15.6,22.5,3,95,22,70,20,136,95,10.35,6.6,16.32,123
3006,1.85,2943.14,7.91167,1.12930,0.47854,1.85000,0,2.41,372,0.5,2,5,9,16,17,15,13,237,14,8.7,1.2,12.48,39
3150,1.90,3077.85,7.85166,1.13153,0.48777,1.89726,0,2.47,392,0.5,2,5,9,64,17,15,18,284,19,8.7,1.2,26.88,192
1107,-0.12,-1168.95,-116.89500,0.75214,-0.18679,-0.12322,0,2.48,10,0.5,14.8,32.5,8,64,44,52,10,82,17,13.65,1.2,19.68,261
1777,-1.03,-1281.72,-3.86060,0.93734,-0.20097,-1.03006,0,2.52,332,0.5,2,37,10,104,17,15,18,284,27,9.15,1.2,26.88,192
4,0.41,1089.94,1.59348,1.03564,0.16433,0.41085,0,2.59,684,0.55,15.6,22.5,3,95,22,70,20,136,135,10.35,6.6,16.32,123
943,0.00,-5.08,-0.84667,0.99858,-0.00076,-0.00014,0,2.63,6,0.5,11.6,35,8,73,129,148,2,106,108,13.05,6.12,7.68,123
1015,0.49,16469.66,1646.96600,5.82756,2.37638,0.49321,0,2.64,10,1.5,11,24.5,8,49,98,63,7,71,134,10.2,1.2,45.6,171
1074,1.01,2183.05,11.25284,1.13229,0.32354,1.00693,0,2.65,194,0.5,2,5,0,118,17,15,2,142,139,10.5,1.32,42.24,90
1474,1.85,6351.55,70.57278,1.45782,0.91131,1.84943,0,2.65,90,0.6,16.6,10.5,3,112,30,17,9,253,96,13.05,6.12,37.44,270
1992,2.37,8104.20,18.58762,1.13832,1.17971,2.37488,0,2.66,436,0.5,14.8,32.5,8,64,17,127,10,82,98,3.3,4.2,4.8,66
3658,0.44,839.19,6.26261,1.03337,0.11922,0.43675,0,2.73,134,0.5,2,32.5,9,15,17,15,2,30,14,8.7,1.2,4.8,78
2345,-1.32,-2556.16,-11.94467,0.87681,-0.35658,-1.32405,0,2.84,214,0.5,16.2,27,6,125,17,15,3,277,17,13.5,1.92,4.8,174
1300,0.86,1900.81,3.72708,1.06396,0.25916,0.86119,0,2.85,510,0.5,2,28.5,6,131,17,127,16,55,52,7.95,1.56,13.92,156
2215,-0.16,-1596.84,-133.07000,0.75808,-0.22115,-0.16054,0,2.88,12,0.5,2,20.5,4,29,65,109,5,296,14,9.9,6.96,47.04,174
5832,0.68,1372.27,10.24082,1.05448,0.18194,0.68435,0,2.92,134,0.5,2,32.5,9,15,17,15,2,30,14,8.7,2.52,27.84,159
429,1.85,6509.39,70.75424,1.44214,0.84271,1.85233,0,2.93,92,0.6,16.6,10.5,3,112,30,17,9,253,107,13.05,6.12,37.44,270
907,0.38,3786.29,270.44929,1.60650,0.50653,0.37651,0,2.94,14,0.65,14.2,35,10,34,140,84,7,53,91,7.8,1.92,18.72,78
1809,3.10,20403.50,408.07000,2.02874,2.60049,3.10326,0,2.95,50,0.5,2,5,9,64,108,15,2,120,58,4.95,3.36,4.8,228
11839,0.39,1025.19,4.88186,1.04734,0.13492,0.39321,0,2.97,210,0.5,12.6,8.5,1,93,17,15,3,270,14,13.35,1.32,17.28,36
6956,-0.53,-3282.07,-273.50583,0.42635,-0.43729,-0.53023,0,2.98,12,0.5,11.6,8,0,101,129,15,2,30,17,14.55,1.2,19.2,33
973,-0.08,-151.30,-0.36370,0.99333,-0.01981,-0.08215,0,2.98,416,0.5,14.8,32.5,8,64,17,127,10,81,17,10.35,10.68,36.48,66
11746,1.77,4456.15,17.82460,1.24984,0.58240,1.77486,0,2.98,250,0.5,12.6,8.5,0,93,17,15,5,270,14,13.35,1.32,18.72,33
11875,1.77,4456.15,17.82460,1.24984,0.58240,1.77486,0,2.98,250,0.5,12.6,8.5,0,93,17,15,5,270,14,13.35,1.32,18.72,36
1785,2.69,17945.52,332.32444,1.79886,2.19207,2.69252,0,3.02,54,0.5,2,5,8,119,108,58,3,61,61,4.95,3.36,4.8,228
1077,1.62,5602.02,60.89152,1.37612,0.70387,1.61525,0,3.03,92,0.6,16.6,10.5,3,112,30,17,9,253,96,12.9,6.12,37.44,126
11198,0.23,526.77,1.17060,1.02407,0.06794,0.22745,0,3.04,450,0.5,12.6,8.5,0,93,17,15,9,30,14,13.35,1.32,20.16,39
7353,0.15,336.06,0.74680,1.01537,0.04336,0.14610,0,3.04,450,0.5,8.4,11,0,93,17,15,9,30,14,13.35,1.2,20.16,159
1003,-0.40,-1382.69,-2.65902,0.96016,-0.17245,-0.40191,0,3.14,520,0.7,10,36,2,94,22,32,12,118,111,10.95,12,39.36,156
7611,0.45,1096.57,6.09206,1.05999,0.13645,0.45466,0,3.14,180,0.5,5.8,8,0,101,17,15,2,30,17,14.55,1.2,9.6,219
1709,2.03,5101.94,11.28748,1.12278,0.62554,2.03332,0,3.16,452,0.5,2,5,9,128,17,15,13,237,61,4.95,3.36,4.8,165
2662,6.94,30954.11,79.77863,1.36076,3.72048,6.94387,0,3.17,388,0.5,2,37,10,16,17,15,18,284,27,1.5,1.2,26.88,192
10838,0.54,1357.63,7.45951,1.07146,0.16454,0.54295,0,3.22,182,0.5,5.4,32,0,101,17,15,2,270,15,14.55,1.2,19.68,33
2041,3.13,7238.68,14.71276,1.29909,0.86533,3.13180,0,3.24,492,0.5,11.6,26,5,70,17,15,13,125,17,9.9,2.04,30.72,60
191,0.50,20277.16,2027.71600,6.48311,2.34369,0.50269,0,3.25,10,1.55,11.2,7.5,3,138,137,107,17,204,119,8.85,1.44,10.08,153
1920,3.26,15236.97,32.55763,1.20352,1.71486,3.25833,0,3.27,468,0.5,2,5,8,52,17,63,15,150,18,3.15,2.88,4.8,147
70,-0.51,-4182.40,-348.53333,0.47462,-0.50876,-0.51063,0,3.29,12,0.55,11.6,5.5,5,140,77,112,12,230,122,14.85,4.44,29.76,171
2755,5.42,16988.46,47.72039,1.26788,1.99228,5.41730,0,3.29,356,0.5,5.2,5,10,115,17,143,12,170,108,1.95,1.2,20.16,99
3227,7.98,32486.51,81.62440,1.34594,3.81556,7.97987,0,3.29,398,0.5,2,5,10,115,17,143,12,170,23,1.5,1.56,4.8,159
6794,0.57,1515.87,7.28784,1.07583,0.17790,0.57038,0,3.32,208,0.5,11.6,11,0,93,17,15,3,30,14,13.35,1.32,18.72,54
9895,0.57,1515.87,7.28784,1.07583,0.17790,0.57038,0,3.32,208,0.5,12.6,11,0,93,17,15,3,30,14,13.35,1.32,18.72,111
